# Nifty 500 stock -> Kite-supported sector index map
# Source: NSE archives ind_nifty500list.csv
# Retrieved: 2026-06-02
# Generated from the NSE Industry column and mapped only where this app has a clear Kite-supported sector index proxy.
# Unmapped NSE industries: Capital Goods, Chemicals, Consumer Services, Diversified, Services, Textiles.
# Those symbols still scan normally; they just skip the sector-strength filter.
symbol,sector_index
360ONE,NIFTY FIN SERVICE
ACC,NIFTY INFRA
ACMESOLAR,NIFTY ENERGY
AUBANK,NIFTY FIN SERVICE
AWL,NIFTY FMCG
AADHARHFC,NIFTY FIN SERVICE
AAVAS,NIFTY FIN SERVICE
ABBOTINDIA,NIFTY HEALTHCARE
ACUTAAS,NIFTY HEALTHCARE
ADANIENSOL,NIFTY ENERGY
ADANIENT,NIFTY METAL
ADANIGREEN,NIFTY ENERGY
ADANIPOWER,NIFTY ENERGY
ATGL,NIFTY OIL AND GAS
ABCAPITAL,NIFTY FIN SERVICE
ABREL,NIFTY REALTY
ABSLAMC,NIFTY FIN SERVICE
AEGISLOG,NIFTY OIL AND GAS
AEGISVOPAK,NIFTY OIL AND GAS
AFCONS,NIFTY INFRA
AFFLE,NIFTY IT
AJANTPHARM,NIFTY HEALTHCARE
ALKEM,NIFTY HEALTHCARE
ABDL,NIFTY FMCG
ARE&M,NIFTY AUTO
AMBER,NIFTY CONSR DURBL
AMBUJACEM,NIFTY INFRA
ANANDRATHI,NIFTY FIN SERVICE
ANANTRAJ,NIFTY REALTY
ANGELONE,NIFTY FIN SERVICE
ANTHEM,NIFTY HEALTHCARE
APOLLOHOSP,NIFTY HEALTHCARE
APOLLOTYRE,NIFTY AUTO
APTUS,NIFTY FIN SERVICE
ASAHIINDIA,NIFTY AUTO
ASIANPAINT,NIFTY CONSR DURBL
ASTERDM,NIFTY HEALTHCARE
ATHERENERG,NIFTY AUTO
AUROPHARMA,NIFTY HEALTHCARE
AIIL,NIFTY FIN SERVICE
AXISBANK,NIFTY FIN SERVICE
BSE,NIFTY FIN SERVICE
BAJAJ-AUTO,NIFTY AUTO
BAJFINANCE,NIFTY FIN SERVICE
BAJAJFINSV,NIFTY FIN SERVICE
BAJAJHLDNG,NIFTY FIN SERVICE
BAJAJHFL,NIFTY FIN SERVICE
BALKRISIND,NIFTY AUTO
BALRAMCHIN,NIFTY FMCG
BANDHANBNK,NIFTY FIN SERVICE
BANKBARODA,NIFTY FIN SERVICE
BANKINDIA,NIFTY FIN SERVICE
MAHABANK,NIFTY FIN SERVICE
BATAINDIA,NIFTY CONSR DURBL
BELRISE,NIFTY AUTO
BERGEPAINT,NIFTY CONSR DURBL
BHARATFORG,NIFTY AUTO
BPCL,NIFTY OIL AND GAS
BHARTIARTL,NIFTY INFRA
BHARTIHEXA,NIFTY INFRA
BIKAJI,NIFTY FMCG
GROWW,NIFTY FIN SERVICE
BIOCON,NIFTY HEALTHCARE
BSOFT,NIFTY IT
BLUEJET,NIFTY HEALTHCARE
BLUESTARCO,NIFTY CONSR DURBL
BBTC,NIFTY FMCG
BOSCHLTD,NIFTY AUTO
BRIGADE,NIFTY REALTY
BRITANNIA,NIFTY FMCG
MAPMYINDIA,NIFTY IT
CCL,NIFTY FMCG
CESC,NIFTY ENERGY
CIEINDIA,NIFTY AUTO
CRISIL,NIFTY FIN SERVICE
CANFINHOME,NIFTY FIN SERVICE
CANBK,NIFTY FIN SERVICE
CANHLIFE,NIFTY FIN SERVICE
CAPLIPOINT,NIFTY HEALTHCARE
CGCL,NIFTY FIN SERVICE
